Reviews,food,Safety and Hygiene,location,value for money,hospitality
"I stayed for 2 days in novotel as It's resort and spa but very small rooms, can't imagine date rooms without gallery in 5 star resort, poor ac, poor food quality and very less options in breakfast, old furniture in rooms, very big turn off",0,1,1,0,1
The staff at the front desk was rude. Loud sound of exhaust in the room. Work happening in the next room in the afternoon too much noise. Did not expect this from a brand like Novotel. Had a terrible experience while talking to a Mr. Pankaj at the front desk. Staff at the property very snooty.,1,1,0,0,0
The staff was a bit lost due to the property being fully occupied. Not sufficiently good service.,1,1,1,1,1
Novotel hotel is very good to stay for family and couple. Located near market,2,2,2,2,2
"Only Food quality good, but this superior room ambiance is average and woodwork quality bad in condition. Lot of maintenance works outside so can't use Play areas.",2,1,1,0,1
Money wasted. Not worth it. Don't know how Novotel is in 5 star hotel category.,0,0,0,0,0
"Stay was good however no balcony rooms were given. For a 5 star hotel, fridge was empty. No snacks at room.",1,1,1,0,1
Worth every penny. Awesome experience.,2,2,2,2,2
The room has no sunlight therefore dark n dampy. Bed is queen though the booking was done with 3 guests and we were told the bed is king size. The pool was small and not maintained. Overall not satisfactory.,1,1,1,0,1
The holiday had been fabulous.,2,2,2,2,2
"The property is Worth every penny, from rooms to service to breakfast everything is just perfect.",2,2,2,2,2
Had a pleasant experience and stay. Breakfast and food overall was good. Service was excellent,1,1,1,1,2
Awesome stay. Best hotel till now.,2,2,2,2,2
"We booked Novotel Resort and Spa for a family holiday thinking it is a 5-star property but it is not a 5-star, it is like a 3-star property. We were highly disappointed.",0,0,0,0,0
"Stay at Novotel was amazing, they upgraded our room and hospitality was amazing.",1,2,1,2,2
A very well maintained property near to beach. It takes around 10/15 minutes of walk to the Candolim beach. Enjoyed thoroughly.,1,2,2,2,1
"Good hotel, cooperative staff, best location in Panjim.",1,1,2,1,2
We had a great stay at the Novotel Goa. Courteous staff with excellent service. Novotel Resort and Spa is very nice property to stay with friends and family.,1,2,1,1,2
Very friendly staff and good place to sit and relax from busy life.,1,2,2,1,2
I felt my stay quite quaint and carefree. I chose Novotel because I once stayed at Novotel at Batam in Indonesia. Food quality is impressive. Cleanliness is top class. Courtesy displayed by the staff members was remarkable. I wish Novotel had an in-house pub with music and dance floor. Happy days!,2,2,1,1,2
"Rooms need maintenance. My room deluxe had a rusted balcony rod that can break on pressure. Plus mosquito menace in a 5-star hotel. On request, they changed the room. First time I saw that the doorbell has been made defunct for preventing disturbing adjacent rooms. I never had this experience anywhere. Overall good staff, nice breakfast spread, good ambience, at this cost of stay you can opt for other reasonable hotels as no hotel in North Goa is on the beach.",2,0,1,2,2
Amazing hotel with nice environment. Good food and nice rooms,2,2,1,1,2
"Absolute waste of money to stay, no buffet, no standards, It's just like a Road Side hotel",0,0,1,0,0
"I feel rooms were without proper electric plugs and no room bell working, breakfast was average and in room dining was horrible",1,0,1,0,0
"The hospitality is amazing, the rooms are great and the location is perfect.",1,2,2,1,2
I was traveling with my wife and 3 year old. We basically extended our stay by booking through MMT however unfortunately the AC went of in the middle of the night. We complained at the main desk and they sent the technician immediately instead of resolving the issue he was arguing with us about some technical error. When complained to Mr. Namit Shetty in the morning he gave us a cold response saying he will look into the matter and would not allocate the room to any guest. We were being asked very rudely to check out saying that you need to check out as It's 12 pm already. Breakfast spread was really great otherwise the overall experience was really good except for what happened.,2,0,1,1,0
Visiting the hotel for the third time. Amazing service and hospitality. Highly recommended for families.,2,2,2,2,2
"Firstly the hotel claims to be a Resort but I found it more like a small hotel, secondly the staff's behavior specially front desk was terrible, namely Mr. Pankaj from the front desk I would like to describe the reason too at night about 12:30 we asked for a cab they kept us waiting more than 1 hour then a cab arrived they were charging extra we agreed as soon as we board the cab after 500 mt the driver dropped us said It's been informed by the hotel to drop wheresoever within 500 mt. When we asked about front desk manager they said he's not available then we asked for their GM again nobody was available. Candolim Beach is quite far as they say within 4 minutes it wasn't Baga Beach about 20 minutes, food was good, the room and the features were fair, but basis of staffs and their terrible behavior I would rate this hotel 1 if you want to have relaxing memorable stay in Goa make sure don't land up in Novotel Candolim",1,1,0,1,0
I don't recommend any person to go this hotel.,0,0,0,0,0
Average stay.power supply every 1 hour 3 - 4 time coming and going.My 4 night stay in this hotel very bad experience.,1,1,1,0,0
"3 star property charging 5 star rates.This is a 3 star property charging 5 star rates. The room had a smell so I got the blanket changed. Swimming pool was not ready even at 11:30 in morning for use. I left valuable behind and they couriered it through some obscure agency, who did not deliver it even in 7 days. Hotel was not at all proactive and didn't co-ordinate or co-operate at all. I had to go myself to the courier center to collect it.",1,1,1,0,0
"I ordered some veg food and instead of that they served me non-veg food, when I tried than I realized it was non veg, I complained about to them but they were just saying sorry it is totally against my religion to eat non veg so get me back on this regarding same, otherwise i can for some legal formalities regards rave petal.",0,1,1,0,0
Uncomfortable pillows. Room full of smell and nobody came with room freshener after repeated reminders. Rooms had a very bad smell and after repeated reminders no one came with air freshener. They never picked up their phones in one go. Pillows were uncomfortable. Overall not worth the money.,1,0,1,0,0
Service was poor. Never expected that much of poor service in a 5*. 3 or 4 star hotel would provide you a better service. Food was not too good. This property is not near to a beach. And rooms were just OK. Gym is too small. Staff don't even feel to answer you,0,1,0,1,0
Safety at dining area could have been better,1,0,1,1,1
The hotel had a good variety in food and had taken adequate measures of cleanliness and hygiene at the rooms during our stay,1,2,1,2,1
Room & location was good but room service was a very poor. We stay in resort for 4 days but our rooms cleaning was done only one day. We are request to and hospitality contact But they are ignore it.,1,2,2,1,0
Hotel offers much less than what's depicted on the site. The photos make the property look excellent which actually is not. Quality of food and service is very poor and nobody senior was available or chose not to come forward to resolve the issue. The breakfast menu was identical on all 3 days except for minor changes like Sabzi was changed with the Puri or variety of pakora was different and items falling short were taking a lot of time for a replacement. Did not see a single senior person in the dining area at rush hour at breakfast time or come across any Manager level in 3 days stay. Although one of the rooms was upgraded on the second day of stay. Front office not friendly. The pool was very dirty and brought this to notice of lifeguards. Overall an extremely poor experience. Big mistake for staying here for the amount spent.,0,0,0,0,0
It is a mere 3-star hotel. No room space at all. You could get much better options in this price.,1,0,1,0,1
"I feel rooms were without proper electric plugs and no room bell working, breakfast was average and in room dining was horrible",1,0,1,0,1
Overall it is a good hotel. I am not sure if It's worth the money paid a night though.,1,1,1,0,0
The food is too good and also the room service. The best part is the location is walking distance from baga beach and market.,2,1,2,1,2
Neat n clean room. Helpful staff. Walkable distance from baga beach. Property is near to titos lane.,1,2,2,1,2
Complimentary water not provided. Rooms are not hygienic and not clean. Staff is not supported and It's a bad experience to us. Never ever book in this hotel and i request andhra people not to book in this hotel.,1,0,1,1,0
Only advantage is location. Near to beach Staff is inexperienced. You have to fight for small small things. 20 yr boy manages entire hotel. Hotel is completely different from photos . Do not include meal or breakfast in booking. You have to eat outside anyway. Power cut after every 2-3 hr,0,1,2,0,0
Stay was okok. Property is near to beach. 1-2 night stay is much enough. Food was good,1,1,2,1,1
Property is located in a good and easily accessible location. Rooms were comfortable and spacious. Cleanliness was impressive and caretaker was cooperative. Food was good in taste. Facilities need improvement. It is a recommendable property.,1,2,2,1,2
"Location of hotel is quite good, average in cleanliness. No mountain hill view.",1,1,1,1,1
We stayed for couple of days with family and friends. We liked the location and the neatness,1,2,2,1,1
"We had a wonderful stay, thanks to the very helpful host, a young couple. They arranged for our rent bikes, guided us about the near areas, watersports, casino and other activities we could indulge in. They have a good restaurant below. The hotel is not at a walking distance from the hotel, but not far on a bike. It's near the baga beach. you will get ATMs and petrol pump near too. Overall a had fun.",1,1,2,1,2
We stayed for almost 3 days in this hotel. Be aware that they don't provide room service and if you even make a small dot of stain over the bed sheets they will cost you the price of a new sheet. The rest of the stay was pleasant and friendly reception and cafe.,1,1,1,0,0
"very best hotel at cheap rate good management good infrastructure very supportive and helpful staff rocky bhai, manoj bhai, bineet bhai are too helpful",1,1,1,2,2
"The property was very clean and hygienic and all basic items like food, wifi, room and all water and all are good and more then that the property is near to Calangute beach",1,2,2,1,1
I reached the hotel at 1am and got the entry at 4 pm there was no light and current. Staff was abusive they even fought with me.,1,1,1,1,0
"The staff was not helpful and the room was full of mosquitoes (hidden inside curtains, bed, almirah)bed and the bed sheets were untidy too. The room was untidy. The staff was not friendly to converse. Bad service. Bad quality of towels given. The room was full of mosquitoes and no mosquito repellant was given by the staff. Ac wasn't in working condition. The room was different from the images.",1,0,1,0,0
Room was not sanitized at all. Staff didn't wore masks and not maintained social distancing.,1,0,1,1,0
"very best hotel at cheap rate good management good infrastructure very supportive and helpful staff rocky bhai, manoj bhai, bineet bhai are too helpful",1,1,1,2,2
"Worst experience that's it don't suggest this please this is my request to make my trip team please look in to this. Thanking you. No wifi, no maintenance, ac not working, no hot water facilities, no fridge, tv not working",1,0,1,0,0
"Stay very close by to seashore clean beds and chance to enjoy sea breeze while staying in the room, accessible to car parking area and very close to the road as well",1,2,2,1,1
I Am familiar with the location of the property. The staffs were very cooperative and helpful. The surroundings were a little noisy. The property is not recommended for others.,1,0,0,1,1
The location of the property was very good. Caretaker was also helpful and polite. I will recommend the property to friends group. Food was good. And the rooms were comfortable. The property was neat and clean.,1,2,2,1,2
Location is right next to the beach the first row is of the Beach facing Cottages and the second row is of standard Cottages. It is a semi- new place built with wooden Cottages. A good place for couple stays but no services are provided. They don't have room service and after 6 pm there is no one at the reception to attend so this converts your stay in a big task. Only one security person is there during the night hours no one to attend the guests. There are near food joints which serve very expensive food and drinking water. They do not have intercom facility and there is nothing as such facilities which they provide. Overall the location and Cottages were the best part rest of the things were having no spicy in the graph.,1,1,2,1,0
"The place is not maintained at all, don't let photos deceive you. Everything in the room was unclean. Have to wait for an hour even after we arrived after check-in time. There are no sign boards at all in the neighborhood to direct you, nobody in the area knew about this place and maps are going to take you in a different spot. The caretaker couldn't care less. Everything was a disaster",0,0,0,0,0
"No wifi, actual photos not displaying. Too much noise. Their are some pigs they cried anytime. Bad smell is their.",1,0,0,1,0
"In 5 days of trip to Goa, we got very good support from the owner in every way. Nice place for groups stay at Calangute Beach and other places are very near. Highly recommended.",1,1,2,1,2
"The place is good to stay, the location was not correct on Google maps, so I had to contact the owner and get the correct location. Overall it is a good place to stay having an AC room and a big hall. Calangute Beach is also near to it.",1,1,1,1,1
Very poor experience. Room is situated by d Side of a pig house so very bad smell every time. No room service even no water also. Housekeeping service very poor. Overall terrible experience.,1,0,1,0,0
"No electricity, rooms were very dirty, ac was not working, on top of that they asked deposit from us we had already made 100% payment, still, they take a deposit. There is no food service in this homestay. Worst experience.",0,0,0,0,0
"Room ac not functioning, telephone also not working, when complained about tv not working they mentioned tv setup box need to recharge that too only on request.",1,1,1,1,0
"The hotel is located in a remote location, a hilly region. The staff are not very cooperative. Hygiene is maintained in the hotel. Good for one day stay.",1,2,2,1,1
"The food is terrible here. They don't have their own restaurant and they order it from somewhere else, plus the waiting time is too much. They have only 2 options for breakfast, and that too is messed up. Too salty, oily. The rooms are good, but the service is pathetic. Also, the hotel is at a remote location in south so there are no near walkable stores. Overall it was a very average experience. The staff however was very good and polite. They just miss some coordination.",0,1,1,1,1
Staff are polite n clean room ; although we got free bf which was not include in our stay. Excellent,1,2,1,2,2
"If you are planning a budget friendly trip for goa, and looking for a place in north goa near candolim, do visit this space. Extremely happy with the ambience, clean pool, good staff, inside parking, awesome place to stay.",1,2,2,2,2
Overall we had a peaceful stay. Room service is good and they respond very quickly. Room cleaning is done frequently. One can order food from the menu provided by the staff. But restaurant is not the part stay place. Somehow i didn't like the food. So pl avoid getting the food at this place. Otherwise everything is nice. Staff is very supportive and caring.,0,2,1,1,2
"It was a great experience being at sai swastik - ambiance is peaceful, supportive staff, clean space and good breakfast being served here. It's a reachable hotel to candolim just in 5 minutes. Thank you for the best service served here.",1,2,2,1,2
I stayed with my family in this property and it was a horrible experience. The property was not clean enough and the facilities were not good. They didn't provide us the toiletries. I had food during my stay and it was bad. I will not recommend this property to others.,0,0,1,0,0
"We went there as couple for last day of our goa visit. The property is at such a place where there was nothing to eat. At night, It's quite a scary place. The bathroom facets were not working properly",0,0,0,0,1
"It is a pleasant stay for us. Though the location was in a bit interior, location was very calm and peaceful. Rooms were comfortable and spacious. Property has all the facilities with a welcoming and well-behaved caretaker. Food was really awesome. It is a neat, tidy and recommendable property.",2,2,2,1,2
"The place for stay is really very good, the caretaker is the best and the cleaner lady too. The swimming pool was always clean. The place is quiet and relaxing.",1,2,2,1,2
"The stay completely surpassed my expectations. Great location with all basic amenities, friendly staff and most importantly, safe during these times of pandemic. Moreover, this fit well into our budget, so basically was value for money as well. Highly recommended. We did not opt for the food service that was a tie up with the hotel. But we did get dominos pizza delivered over there through online ordering.",1,2,2,2,2
Everything was not even upto the mark. Food was not even an option for them but mm t shows to include breakfast. Mm t shows wifi enabled but wifi was not there. They will give any room whatever available at that time no matter what you booked.,0,0,1,0,0
1. I didn't get the room what i booked for. 2. Breakfast was really great. 3. There is almost no wifi.,2,0,1,1,0
"The rooms were clean but the bed sheets, pillow cover and towels were not cleaned/had visible dried stains. It's a basic room comfortably for bachelors coming to Goa. ATM and market at walking distance.",1,0,1,1,1
We got this for 3N/4D for slightly above high. Pleasant stay overall. I travelled with my family with 2 senior citizens. Good thing about this place is close proximity to almost all famous beaches in South goa.,1,1,2,1,1
The stay was excellent. The staffs were always ready to serve their best. The property was centrally located. They maintained the property with all the facilities and amenities. The rooms were clean and comfortable. I would love to recommend this to others.,1,2,2,1,2
We stayed here for one night with a group of friends! the property offered a nice view of fields and the pool was perfectly placed to enjoy that! the owner & caretakers were available for anything required. Would definitely recommend!,1,1,2,1,2
"The stay was terrible, host is not contactable, two nights no electricity due to mcb trip, one ac not working, bed bugs in the bedroom, staircase is difficult to climb for senior citizens",1,0,1,0,0
Had a stay at the property. Preferring a villa with private pool due to the covid situation. Not exactly as shown in the pic. But the property was good. Nice situation as all mein spot are 15 to 20 mins drive away. Food was available but don't expect prompt service like hotel. As everything cooked is after order. The staff was real helpful. Special mention mr. Suman and mr. Badal. Overall a pleasant experience. Will surely repeat.,1,1,1,1,2
The property is near to mountains and easily reachable but the location was bit congested. The rooms were cool and comfortable with all the facilities and clean as well. The services were not that good but I really liked the food and swimming pool they have a separate pool for each villa. Value for money and highly recommended.,1,2,0,2,0
"As soon as we enter, staff sanitized our all bags then temperature check and moved to check in process. All staff wearing mask, hand gloves and sanitizer available on the desk. Lobby was clean and they keep cleaning lobby area in time to time. Room and bathroom were spotless clean and dry. Towels, bed sheets were clean and smell fresh. They do room cleaning every morning or whenever you ask.",1,2,2,2,1
"It was such a great experience with vivanta. I just loved the cleanliness, the behaviour of staff amid the hygiene. Enjoyed at Its peak thanks to all the staff member of vivanta for support for love and hygiene which they have provided",1,2,1,1,2
"We were here only for a day but regret that fact. We wish we could have booked for at least a day more. Fantastic services and staff, the room was drop clean. Mr uttam helped and eased our stay here. I would recommend anyone who wants a staycation at mumbai.",1,1,1,1,2
"The stay happen to be impressive! start from checkin to checkout, everything was smooth and great! the best part is the staff, so helpful, so caring and so taking interest to make your day in leela the best day.",1,1,1,1,2
"The hotel rooms are big and spacious, very close to beach, the breakfast menu was really good. Room service was prompt. The only downside was the washroom part, like they were good but not as good as they should have been in a five star hotel. Overall it was a wonderful stay, will recommend this hotel to my friends and family for sure",2,1,2,2,2
Great housekeeping. Took care of sanitization well. Reception had mask to give to guest who forgot in rooms. Private beach is very clean,1,2,2,2,2
Good staff food was excellent and good location near beach,2,2,2,2,2
"It was pleasant, private beach access is really great. Friendly hotel staff.",1,1,1,2,2
It was a pleasant stay. Location was very good,1,1,2,2,1
"Had an amazing stay, the best part is the sea is jst at next to your door and the river just in-front of you. Good two days you can stay here without going out. Food is also great, has got food places and places to visit nearby.",2,2,2,2,2
"The location of the place makes it worth the visit. The staff is friendly. Had a terrible experience at the breakfast, food quality needs to be improved to a great extent",0,1,2,1,2
Reception to all staff behaviour is good service to good location superb thanks to riva resort all things,1,1,2,1,2
Hotel was good. 1. No temperature check. 2. No room sanitization. 3. Food was good. 4. Room service not proper,1,1,1,1,0
Booked this awesome resort for my honeymoon and thanks to mm t got it on 50% discount. Rooms are bigger. Breakfast was great. They even served some items specially on your request other than eggs and south indian. Hygiene and safety measures were taken. Pool was closed due to covid-19. Other than that had a pleasant stay. No complaints.,2,2,2,2,2
All good but the check-in was slow and we had to wait in the lobby for about 30 mins,2,2,2,2,0
"I had booked a hotel in Goa, name of the hotel Novotel Goa Candolim the issue is when my client reached the hotel the hotel people stated that the hotel is under renovation and they were shifted to other Hotel that is Novotel golf spa & resort.",0,0,0,0,0
Cleanliness is not at all taken care of,1,0,1,1,1
"AC in the room was not operational and the hotel had no solution to it. Even in 2 days time, they couldn't fix the AC and had to survive without AC in such hot climate. The Hotel further is asking to book another room for next 2 days and they will do complimentary upgrade. This also, was shown as a favor. Very bad experience",0,0,0,0,0
"Buffet breakfast was not worth, mosquitoes in the room.",0,0,1,0,0
"Front desk staff very rude, never expected from novatel. Thy not even welcome guests with smile Not worth for the price . Rooms okay bed linens very old and smelly",1,0,0,0,0
Finest location in goa food were good hotel and It's staff is very hygiene and follow all safety standard,2,2,2,2,2
Really good & service & ambience is good swimming pool & baby pool is good kids will enjoy lot,1,1,1,2,2
Entire staff is helpful even during midnight hours. Good quality and overall experience is 10/10,2,2,2,2,2
The location is very beautiful. Enjoyed hygienic food.,2,1,2,1,1
Very nice service. Good staff nice plc.,1,1,2,1,2
"Beautiful property, amazing food. Beach experience was amazing",2,2,2,2,2
"Location is excellent, peaceful and staff is very courteous. Ala carte food is excellent, buffet is very average",1,1,2,1,2
It was a very pleasant stay for us. Hospitality was top-notch and hygiene standards at the optimum. Special shoutout to sangeetha who was very considerate and amazing at the hospitality. Kudos and keep it up,1,1,1,1,2
Safety is good at the hotel plat and temperature check is good,1,2,1,1,1
"Beautiful property, amazing food. Beach experience was amazing",2,2,2,2,2
The staff were not as cooperative and helpful as they were in taj. Food quality was pathetic even after request they could not serve me no garlic breakfast.,0,1,1,1,0
"Nice property but service could be much better. On two occasions for example we had specifically request housekeeping to clean our rooms after they didn't show up in the morning. Otherwise, a positive experience",1,2,1,1,1
Restaurant facilities are not good and offer no value,0,1,1,0,1
"One of the best property in south goa, away from madding crowd. The property is huge with lush green trees all around and a beautiful white sand beach. The room had a beautiful lagoon and a garden view. The staff was very courteous and efficient. The food was good and breakfast buffet had good variety. Overall a fantastic place if you want to relax and enjoy !",1,2,2,1,1
It was a very pleasant stay for us. Hospitality was top-notch and hygiene standards at the optimum. Special shoutout to sangeetha who was very considerate and amazing at the hospitality. Kudos and keep it up,1,1,1,1,2
"Very nice property, with great location, awesome and delicious food and with high safety and hygiene standards.",2,2,2,1,1
"Overall good stay - hygiene maintained, food quality was good, service was nice. Only the rooftop restaurant was limited with liquor options, plus cocktails were expensive and mostly it tasted more like mocktails. Seems no alcohol served in the drinks",1,1,1,0,2
Customer service : terrible they send you water after making 4-5 calls bathroom was unsanitary and dirty,1,0,1,1,0
Breakfast quality is so poor. Not upto date. Waiter refuse to serve you food. Breakfast time is 10. 30 and they will close the breakfast before time even client is sitting on table,0,1,1,1,0
"The worst ever property i have visited in near future, wish have opted for any good hotel",0,0,0,0,0
Rooms were mosquitoes infested & response of staff very casual. Had issues related to check in.,1,0,1,1,1
"Food not worth to be called taj. Extremely small washrooms, never saw this small size washroom earlier. Same breakfast served everyday. Food quality was not great. Nor worth to be so called taj",0,0,0,0,0
Well maintained and following all the safety norms,1,2,1,1,1
"I stayed recently here and i feel It's safe, secure and hygienic place. They follow all the guidelines for covid.",1,2,1,1,1
Most ideal location in whitefield with excellent food and very courteous staff ever willing to assist in all matters. Make one feel really happy and homely. Very neat and clean.,2,2,2,2,2
Cleanliness and service was below average. Lack of adequate seats in latitude(buffet area). Lawn was not clean. Rooms are pretty small compared to Marriott whitefield. This hotel perhaps has a cheaper A'La Carte Menu. Ideal for a family outing.,0,0,0,0,0
"Awsome, service best quality, superb",2,2,2,2,2
"Location good, food expensive",0,1,2,1,1
"It's good but lacking taj standard, need more hospitable",1,0,1,1,1
Good hospitality and service provided by staff. Breakfast was awesome.,2,1,1,1,1
Had a pleasant stay during the long weekend.,2,2,2,2,2
Room is nice and clean. The pools are very beautiful. The staff is so nice. Everything is perfect. This became my perfect vacation for my trip. The breakfast was a bit small and not many variety of foods but acceptable,1,2,2,2,2
"We stayed at The Nature Phuket for a couple of nights and enjoyed our time a lot. It is exceptionally clean which is reassuring as Covid is still a thing. Breakfast is very good. The gym is well equipped, too.",2,2,2,2,2
"Surely this hotel feels safe and all protocols are followed. But even then for my stay i nevertheless had my own small bedding that i used to cover the original bedding of hotel. Some hairs were there on bed as well. The room was nice and clean, but i myself sanitized all high touch areas myself to be double sure. Hotel is good, beds are comfy and washrooms are clean",1,2,1,2,2
Good hotel with good ambience worth hotel good food,1,1,1,1,1
"Good location, tasty food at reasonable price. Very good staff and excellent service. Overall all great experience",2,1,1,2,2
"Location, service, check in good. Breakfast excellent. Scope of improvement - central ac temp control was not working proper, it was getting super chill even at 26 c set temp. Upon calling housekeeping they said turn off for some time and manage the control by your own way. Which was down side.",2,1,1,2,1
Location was not good but food and hygiene was good. Swimming pool was closed in name of corona which is totally irrelevant,1,1,0,1,1
"Clean spacious rooms, good restaurant and decent service. Located 3 km from jaipur airport. Overall satisfied with the experience and was my 3rd visit to this hotel.",1,2,2,1,1
"Good accommodation for a group. Electricity is a bit of problem, so do check inverter or back up before entering the villa. Staff is good. All beaches accessible from the villa easily.",1,1,2,1,2
"The location was good, it was easy to reach the property. The room was amazing and comfortable. The whole property was completely neat and clean. I really enjoyed myself in that property. Surely going to recommend this property to others.",1,2,2,2,1
Good location and clean and clean room. We have great trip in that apartment beautiful room clean and clear staff behaviour cool and good nice. Host behaviour also very impressive. Thanks mr anilfor give good suggestions,1,2,2,2,2
"Have planned to go, but unfortunately 2 days prior to booking date( after 5-6 hrs of 0 cancellation charge time period) got my brothers covid positive report which was submitted to hotel email. Still they haven't provided refund for such genuine reason. Not happy with the management",1,1,1,1,0
"First thing is property location is not accurate, name board was not theta on the property, no parking available though in amenities they are commiting, poor room hygiene, rooms were not properly clean, dirty washroom, overall it was waste of money and worst stay. Couples. Please don't book this hotel you will checkout and book other hotel again.",1,0,0,0,0
There is trained staff available and staff behaviour is very good also good communication skills. He was provided clean toilet & room,1,2,1,1,2
It was a great experience in baga family in. Good ambiance and great room service. Near to the baga beach. Staff behavior cool and good friendly also. Clean and clear rooms.,1,2,2,2,2
I travel with my friends and it was a great experience over there we had a two wheeler parking area and it was it was a bit difficult to find but still okay the staff came out to help us and they gave a good description description about the roadmap and all it was nice experience won't disappoint you,1,1,1,2,2
Only for girls i didn't find the hotel appropriate and the i felt the safety issues as well as cleanliness of rooms and bathrooms. Make my trip please make sure you provide us the hotels which you have personally examined because on behalf of your trust i had done the booking and i didn't asked the hotel for the refund by observing the hotel safety and cleanliness.,1,0,1,0,0
No room cleaning was there for five days. Hotel boy was not comparative overall not good,0,0,1,0,0
Tito's place was very amazing place. We had a so much there and our hotel also in good condition. We enjoyed very much,1,2,2,2,1
Ac and night fan also not working properly. No power back up is there in that hotel i'm deeply regret for this hotel i never expected such thing's mmt assured hotel,1,0,1,0,0
Property is in prime location. Market & beach both are near to the property. Food from restaurant was tasty. Overall It's good budget property to stay in goa,2,1,2,2,2
Property is in prime location. Market & beach both are near to the property. Food from restaurant was tasty. Overall It's good budget property to stay in goa,2,1,2,2,2
Our experience at Rancho Valencia was absolutely perfect from beginning to end!!!! We felt special and very happy during our stayed. I would come back in a heartbeat!!!,2,2,2,2,2
"We booked a 3 night stay at Rancho Valencia to play some tennis, since it is one of the highest rated tennis resorts in America. This place is really over the top from a luxury standpoint and overall experience. The villas are really perfect, the staff is great, attention to details (includes fresh squeezed orange juice each morning), restaurants, bar and room service amazing, and the tennis program was really impressive as well. We will want to come back here again.",2,2,2,2,2
"Beautiful rooms and the nicest people working there. The front desk lady, Olivia, was extremely patient and helpful. We had lots of questions and she had just as many answers. The rooms were sleek and modern. The only thing that would make this hotel better would be free breakfast, but I really am asking for a lot. A++ stay. Thank... More",2,2,2,1,2
"clean, good area, very kind crew, easy to park",1,2,2,1,2
Bad: Paying for parking. Good: Friendly and prompt service.,1,1,1,0,2
Nice hotel with a great restaurant! Only thing that would have been nice to have it a bathtub rather than just a shower.,2,1,1,1,1
"It's a beautiful property with average customer service, lazy staff and no food menu. Has no privacy for individual couples, no sound sealing from different rooms. Basically It's a big house, with separate rooms being sold separately. So if you are a big group of families and can manage to book 4 out of 7 rooms available, then you might enjoy. Otherwise It's just a long photo session.",1,1,1,0,0
Awesome place to stay and cool and calm place. Well organised staff and beautiful place to stay,2,2,2,2,2
"The resort located at the extreme top of hill. It would be challenging to drive up till the resort due to the narrow road. One you reach there you will be bewildered by It's natural beauty. Also the resort is well landscaped using colonial architecture. The rooms were clean and beautiful. The food served was good but It's quite expensive.

",2,1,1,0,2
"All the covid-19 protocols were followed diligently and not as an eyewash. From temperature checks during check-in to hand sanitizers at all public areas to the staff always wearing masks, we felt comfortable during the stay. I can recommend a visit to this place 100%

",2,2,2,2,2
