Tracking_ID,Threat Status,Threat Details,Date-Time,Asteroid_ID
65094,Medium Tier,Asteroid Collsiion,14/12/2019,1099
65061,High Tier,High Neutrion Burst,11/01/2019,1014
65020,Imminent,Supernova,28/08/2021,1031
65019,Low Tier,Asteroid Collsiion,24/03/2016,1072
65017,Low Tier,Low Neutrino Burst,05/10/2010,1009
65052,Low Tier,Low Neutrino Burst,11/12/2019,1011
65077,Medium Tier,bad upper layer space weather,13/12/2011,1015
65083,Medium Tier,High Neutrion Burst,01/05/2011,1054
65038,Imminent,bad upper layer space weather,20/06/2021,1040
65028,Medium Tier,Supernova,29/07/2018,1037
65033,Medium Tier,Low Neutrino Burst,24/06/2013,1046
65073,Tackled/Over,bad upper layer space weather,15/11/2007,1049
65031,Low Tier,High Neutrion Burst,14/02/2009,1065
65096,Low Tier,Supernova,22/12/2009,1016
65069,Tackled/Over,Debris Alert for Sats,03/10/2012,1084
65046,Imminent,bad upper layer space weather,01/11/2020,1077
65002,High Tier,High Neutrion Burst,20/12/2007,1094
65063,Tackled/Over,Low Neutrino Burst,12/12/2008,1029
65030,Tackled/Over,High Neutrion Burst,08/05/2017,1070
65048,Simple Warning,Supernova,07/07/2016,1056
65067,Low Tier,Low Neutrino Burst,24/12/2015,1091
65082,Simple Warning,Low Neutrino Burst,15/08/2015,1079
65084,Tackled/Over,Supernova,15/11/2012,1008
65035,High Tier,Asteroid Collsiion,07/04/2015,1004
65023,Low Tier,Debris Alert for Sats,08/07/2011,1035
65091,Tackled/Over,Space GPS jamming by external entity,31/08/2012,1017
65075,Medium Tier,Asteroid Collsiion,13/12/2008,1021
65056,High Tier,Asteroid Collsiion,30/06/2019,1048
65014,Imminent,bad upper layer space weather,24/11/2008,1051
65080,Imminent,Supernova,20/07/2018,1022
65037,Tackled/Over,High Neutrion Burst,15/11/2013,1085
65009,Low Tier,Debris Alert for Sats,09/12/2011,1001
65007,Medium Tier,bad upper layer space weather,01/12/2014,1076
65095,High Tier,Low Neutrino Burst,14/04/2017,1039
65070,Imminent,Space GPS jamming by external entity,04/12/2007,1002
65085,High Tier,Asteroid Collsiion,01/09/2019,1062
65022,Tackled/Over,bad upper layer space weather,04/08/2021,1083
65057,Imminent,Supernova,13/07/2013,1097
