Mission ID,Launch Vehicle,Ground Segment,Mission Profile,Payload Details,Start Date,End Date,Status
10099,PSLV-G,GAMALINK,ISS assembly flight ULF2: MPLM Leonardo," Hyperspectral Payload for Italian PRISMA Programme, Environmental Mapping and Analysis Program, Medium Resolution Imaging Spectrometer for Ocean Colour onboard",14-02-2009,30-10-2027,COMPLETED
10012,PSLV-3S,KSAT Lite,Study Oort Cloud's gamma ray beat," Lunar Gravity Digicon Imager, Global Elemental, compostion package, Mercator",05-11-2006,20-05-2010,ACTIVE
10064,Atlas SLV-3,OSAGS,mapping composition of ice on Mars,Cadmium Zinc Telluride Meter,07-07-1997,16-09-2019,ACTIVE
10028,Ares III,KSAT Lite,"Crew rotation,Assembly of Station by EVA Methods (ASEM) space station truss experiment EVA", Dual Frequency Synthetic Aperture Radar Atmospheric Compositional Explorer,22-01-2003,26-09-2000,INACTIVE
10069,M-3SII,ATLAS Global Network,"Dragonfly mission to study titan, Saturn's moon", Imaging IR spectrometer,15-06-2023,20-08-2002,COMPLETED
10092,M-3SII,OSAGS,Explore moons of saturn and its gaseous rings, Dual Frequency Synthetic Aperture Radar Atmospheric Compositional Explorer,28-07-2008,08-09-2005,ACTIVE
10057,Ares II,KSAT Lite,Collect sample from Asteroid Bennu(AXCV1258)," Lunar Gravity Digicon Imager, Global Elemental, compostion package, Mercator",31-08-2022,11-11-2014,INACTIVE
10098,GSLV Mk I,OSAGS,Study GH123 and SI145 of Kuiper belt," Lunar Gravity Digicon Imager, Global Elemental, compostion package, Mercator",11-03-2004,01-07-2025,SCHEDULED
10026,GSLV Mk II,ATLAS Global Network,Tracking and data relay satellite (TDRS-G) deployment," Secondary Ion MAss Spectrometer, Electrostatic Zoom Digicon Imager",28-03-2000,04-08-2016,SCHEDULED
10023,Ares V, Surrey Ground segment,ISS assembly flight ULF2: MPLM Leonardo, Imaging IR spectrometer,04-06-2004,25-11-2009,SCHEDULED
10039, Ares I,OSAGS,Build complete picture of Saturn's climate, Imaging IR spectrometer,15-12-2001,29-03-2000,SCHEDULED
10073,Ares III,GAMALINK,Analyze martian soil and search for life," Lunar Gravity Digicon Imager, Global Elemental, compostion package, Mercator",26-11-2017,14-04-2027,COMPLETED
10006,M-3SII,ISIS Small satellite Ground Station,"Study planet formatiom, how life rose on earth in early solar system"," Cross-track Infrared Sounder Flying on NOAA/NASA ,GIFTS",14-09-2004,10-09-2002,COMPLETED
10097,Atlas LV-3B, Surrey Ground segment,Study working of Laser Interferometer Space Antenna (LISA)," Secondary Ion MAss Spectrometer, Electrostatic Zoom Digicon Imager",14-12-2012,21-10-2006,ACTIVE
10095,GSLV Mk III,ATLAS Global Network,Study atmosphere of Jupiter," Cross-track Infrared Sounder Flying on NOAA/NASA ,GIFTS",31-12-2017,31-05-2019,ACTIVE
10055,Ares IV, Surrey Ground segment,ISS assembly flight ULF2: MPLM Leonardo,"Neuron Spectrometer, MEV_GEV",08-07-2016,23-12-2011,COMPLETED
10087, Ares I,ATLAS Global Network,"Study planet formatiom, how life rose on earth in early solar system"," Cross-track Infrared Sounder Flying on NOAA/NASA ,GIFTS",03-11-2017,26-11-1995,SCHEDULED
10035,PSLV-3S,KSAT Lite,"Dragonfly mission to study titan, Saturn's moon", Dual Frequency Synthetic Aperture Radar Atmospheric Compositional Explorer,18-08-2002,21-08-2009,INACTIVE
